,Case,acqlabel,acq_id,PhaseEncodingDirection_dwi,EffectiveEchoSpacing_dwi,TotalReadoutTime_dwi,RepetitionTime_dwi,EchoTime_dwi
0,sub-NDARBM839WR5/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de7355040116e005bcf736e,j-,0.000414993,0.0427443,3.32,0.1002
1,sub-NDARBU730PN8/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de7371940116e005bcf73bb,j-,0.000414993,0.0427443,3.32,0.1002
2,sub-NDARBX974XDR/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de739b940116e005bcf73fe,j-,0.000414993,0.0427443,3.32,0.1002
3,sub-NDARCL590LPD/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de73e3a40116e005bcf749d,j-,0.000414993,0.0427443,3.32,0.1002
4,sub-NDARCR499NE4/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de740b840116e005bcf74f9,j-,0.000414993,0.0427443,3.32,0.1002
5,sub-NDARDZ010EDH/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de748a840116e005bcf7606,j-,0.000414993,0.0427443,3.32,0.1002
6,sub-NDARDZ058NZN/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de7494440116e005bcf761c,j-,0.000414993,0.0427443,3.32,0.1002
7,sub-NDAREF893ZM8/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de74a4240116e0051b4655e,j-,0.000414993,0.0427443,3.32,0.1002
8,sub-NDAREM731BYM/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de74b9840116e0053b56cee,j-,0.000414993,0.0427443,3.32,0.1002
9,sub-NDAREV527ZRF/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de74dfd40116e0053b56cf7,j-,0.000414993,0.0427443,3.32,0.1002
10,sub-NDARFR108JNB/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de751f740116e0057bca0a2,j-,0.000414993,0.0427443,3.32,0.1002
11,sub-NDARFY009MNL/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de7529940116e005bcf773d,j-,0.000414993,0.0427443,3.32,0.1002
12,sub-NDARGE946RCB/ses-HBNsiteRU/dwi,acq-64dir_dwi,5de7891a40116e0057bca179,j-,0.000414993,0.0427443,3.32,0.1002
13,sub-NDARGZ038DRL/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df40ecad566950057c03c3d,j-,0.000414993,0.0427443,3.32,0.1002
14,sub-NDARHA387FPM/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df40f6ed56695005bc07147,j-,0.000414993,0.0427443,3.32,0.1002
15,sub-NDARHN158DC6/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df411fad56695006cc0b5ba,j-,0.000414993,0.0427443,3.32,0.1002
16,sub-NDARHZ923PAH/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4154ad566950059c056b2,j-,0.000414993,0.0427443,3.32,0.1002
17,sub-NDARJA157YB3/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df41608d56695006cc0b639,j-,0.000414993,0.0427443,3.32,0.1002
18,sub-NDARJG300HWH/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df417b3d56695005bc071ae,j-,0.000414993,0.0427443,3.32,0.1002
19,sub-NDARLH979WFX/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df423c7d56695006cc0b852,j-,0.000414993,0.0427443,3.32,0.1002
20,sub-NDARLR030EW6/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df42606d56695006cc0b8b7,j-,0.000414993,0.0427443,3.32,0.1002
21,sub-NDARLU606ZDD/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df426cbd566950053c02816,j-,0.000414993,0.0427443,3.32,0.1002
22,sub-NDARMF116AFR/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df42929d56695006cc0b90a,j-,0.000414993,0.0427443,3.32,0.1002
23,sub-NDARMH249AWF/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df429d6d566950078c1171f,j-,0.000414993,0.0427443,3.32,0.1002
24,sub-NDARMT064WBB/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df42c1dd566950057c03cf5,j-,0.000414993,0.0427443,3.32,0.1002
25,sub-NDARMU053YEU/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df42cc6d566950078c117cf,j-,0.000414993,0.0427443,3.32,0.1002
26,sub-NDARNK329VC3/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df42fb4d566950078c1185c,j-,0.000414993,0.0427443,3.32,0.1002
27,sub-NDARNL134VF0/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4302ed566950059c05805,j-,0.000414993,0.0427443,3.32,0.1002
28,sub-NDARPC817XZ5/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df43371d56695005bc0740e,j-,0.000414993,0.0427443,3.32,0.1002
29,sub-NDARPW635LN4/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df43867d56695006cc0bc46,j-,0.000414993,0.0427443,3.32,0.1002
30,sub-NDARRA717GYV/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df43a23d566950059c05923,j-,0.000414993,0.0427443,3.32,0.1002
31,sub-NDARRB942UWU/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df43ac6d566950078c11c73,j-,0.000414993,0.0427443,3.32,0.1002
32,sub-NDARRL660CME/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df43e5ad56695006cc0bd79,j-,0.000414993,0.0427443,3.32,0.1002
33,sub-NDARRP163YRC/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df43fa6d566950078c11d7e,j-,0.000414993,0.0427443,3.32,0.1002
34,sub-NDARRU720LG4/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df440ffd56695006cc0bdac,j-,0.000414993,0.0427443,3.32,0.1002
