,Case,acqlabel,acq_id,PhaseEncodingDirection_fmap,EffectiveEchoSpacing_fmap,TotalReadoutTime_fmap,RepetitionTime_fmap,EchoTime_fmap
0,sub-NDARAA112DMH/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de72f0840116e005bcf729d,j,0.000550001,0.04565,5.301,0.0512
1,sub-NDARAA117NEJ/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de72f1a40116e005bcf72a1,j,0.000550001,0.04565,5.301,0.0512
2,sub-NDARAC904DMU/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de72fd640116e0057bc9f60,j,0.000550001,0.04565,5.301,0.0512
3,sub-NDARAE012DGA/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de7307e40116e0058c4e561,j,0.000550001,0.04565,5.301,0.0512
4,sub-NDARAN814UPR/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de7311040116e0058c4e569,j,0.000550001,0.04565,5.301,0.0512
5,sub-NDARAP176AD1/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de731bc40116e005bcf72f8,j,0.000414993,0.0427443,3.32,0.1002
6,sub-NDARAV031PPJ/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de7323540116e0058c4e587,j,0.000550001,0.04565,5.301,0.0512
7,sub-NDARBA680RFY/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de732e240116e0058c4e591,j,0.000550001,0.04565,5.301,0.0512
8,sub-NDARBB901UD2/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de7332340116e005bcf7316,j,0.000550001,0.04565,5.301,0.0512
9,sub-NDARBE641DGZ/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de7336c40116e0058c4e59a,j,0.000550001,0.04565,5.301,0.0512
10,sub-NDARBF805EHN/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de7341940116e005bcf733f,j,0.000550001,0.04565,5.301,0.0512
11,sub-NDARBK082PDD/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de734b240116e005bcf735a,j,0.000550001,0.04565,5.301,0.0512
12,sub-NDARBM173BJG/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de7354140116e005bcf7369,j-,0.000550001,0.04565,5.301,0.0512
13,sub-NDARBM839WR5/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5de735d140116e0054b7b7d7,j-,0.000414993,0.0427443,3.32,0.1002
14,sub-NDARBM839WR5/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de735d240116e0057bc9f94,i-,0.000414993,0.0427443,3.32,0.1002
15,sub-NDARBR740NKV/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de7366d40116e0051b46548,j,0.000550001,0.04565,5.301,0.0512
16,sub-NDARBU607ZZ3/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de7370a40116e0058c4e5d9,j,0.000550001,0.04565,5.301,0.0512
17,sub-NDARBV680AA8/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de7386340116e005bcf73d6,j,0.000550001,0.04565,5.301,0.0512
18,sub-NDARBX121UM9/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de738fe40116e0057bc9fb4,j,0.000550001,0.04565,5.301,0.0512
19,sub-NDARBX400RTC/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de739ab40116e0053b56cc4,j,0.000550001,0.04565,5.301,0.0512
20,sub-NDARBX974XDR/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5de73a5b40116e005bcf7411,j-,0.000414993,0.0427443,3.32,0.1002
21,sub-NDARBX974XDR/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de73a5c40116e0054b7b7e7,i-,0.000414993,0.0427443,3.32,0.1002
22,sub-NDARCA153NKE/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de73aed40116e005bcf742a,j,0.000550001,0.04565,5.301,0.0512
23,sub-NDARCE353XKH/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de73b8540116e005bcf7436,j,0.000550001,0.04565,5.301,0.0512
24,sub-NDARCE721YB5/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de73c0140116e0058c4e635,j,0.000550001,0.04565,5.301,0.0512
25,sub-NDARCF188HV4/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de73c0b40116e0058c4e638,j,0.000550001,0.04565,5.301,0.0512
26,sub-NDARCJ170CT9/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de73d3140116e0057bc9fda,j,0.000550001,0.04565,5.301,0.0512
27,sub-NDARCJ363KLE/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de73dbe40116e005bcf748b,j,0.000550001,0.04565,5.301,0.0512
28,sub-NDARCJ475WJP/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de73e2940116e005bcf7498,j,0.000550001,0.04565,5.301,0.0512
29,sub-NDARCL590LPD/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5de73ed840116e005bcf74ac,j-,0.000414993,0.0427443,3.32,0.1002
30,sub-NDARCL590LPD/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de73ed840116e005bcf74af,i-,0.000414993,0.0427443,3.32,0.1002
31,sub-NDARCM135DVC/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de73f7340116e005bcf74d9,j-,0.000550001,0.04565,5.301,0.0512
32,sub-NDARCM302VJ1/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de7401240116e005bcf74e2,j,0.000550001,0.04565,5.301,0.0512
33,sub-NDARCN669XPR/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de740a840116e005bcf74f6,j,0.000550001,0.04565,5.301,0.0512
